city,county,country,given_name,family_name,date_of_birth
Aberdeen,Aberdeenshire,Scotland,Jacob,Mountford,1875-11-07
Aberdeen,Aberdeenshire,Scotland,Priscila,Hall,1902-11-07
Aberdeen,Aberdeenshire,Scotland,Emily,Antell,1905-02-06
Aberdeen,Aberdeenshire,Scotland,Stella,Edwards,1930-01-11
Aberdeen,Aberdeenshire,Scotland,Victor,Leighton,1950-05-19
Aberdeen,Aberdeenshire,Scotland,Thomas,Watson,1905-09-11
Aberdeen,Aberdeenshire,Scotland,Beryl,Willetts,1929-09-28
Aberdeen,Aberdeenshire,Scotland,Clayre,Williams,1958-04-30
Aberdeen,Aberdeenshire,Scotland,Blanche,Miller,1900-03-05
Aberdeen,Aberdeenshire,Scotland,Flora,Noble,1876-01-29
Aberdeen,Aberdeenshire,Scotland,Jennie,Price,1911-07-19
Aberdeen,Aberdeenshire,Scotland,John,Alderson,1920-07-11
Aberdeen,Aberdeenshire,Scotland,Pauline,Fitch,1950-01-18
Aberdeen,Aberdeenshire,Scotland,Kate,Spafford,1889-04-30
Aberdeen,Aberdeenshire,Scotland,Gillian,Tait,1951-09-14
Aberdeen,Aberdeenshire,Scotland,William,Beckensall,1931-02-16
Aberdeen,Aberdeenshire,Scotland,Richard,Hall,1958-09-29
Aberdeen,Aberdeenshire,Scotland,Margaret,Webb,1868-07-26
Aberdeen,Aberdeenshire,Scotland,Susan,Hawes,1946-09-27
Aberdeen,Aberdeenshire,Scotland,Philip,Oliver,1955-08-21
Aberdeen,Aberdeenshire,Scotland,James,Glynn,1909-09-29
Aberdeen,Aberdeenshire,Scotland,Ian,Wilkinson,1970-09-18
Aberdeen,Aberdeenshire,Scotland,Jane,Clamp,1855-12-13
Aberdeen,Aberdeenshire,Scotland,George,Taylor,1888-04-15
Aberdeen,Aberdeenshire,Scotland,David,Athay,1980-09-18
Aberdeen,Aberdeenshire,Scotland,Joseph,Dyer,1928-06-06
Aberdeen,Aberdeenshire,Scotland,Mabel,Collins,1886-10-01
Aberdeen,Aberdeenshire,Scotland,Thomas,Smith,1880-09-14
Aberdeen,Aberdeenshire,Scotland,Philip,O'connell,1950-02-27
Aberdeen,Aberdeenshire,Scotland,Violet,Jones,1914-11-14
Aberdeen,Aberdeenshire,Scotland,Joan,Whiteing,1920-08-13
Aberdeen,Aberdeenshire,Scotland,Charles,Claridge,1875-08-05
Aberdeen,Aberdeenshire,Scotland,Llewellyn,Williams,1896-02-22
Aberdeen,Aberdeenshire,Scotland,Peter,Brownhill,1951-04-01
Aberdeen,Aberdeenshire,Scotland,George,Walaron,1882-06-27
Aberdeen,Aberdeenshire,Scotland,Elizabeth,Aston,1866-02-08
Aberdeen,Aberdeenshire,Scotland,Tony,Townsend,1931-03-25
Aberdeen,Aberdeenshire,Scotland,George,Bramwell,1852-07-28
Aberdeen,Aberdeenshire,Scotland,Willie,Harvey,1877-02-28
Aberdeen,Aberdeenshire,Scotland,Paul,Brutnell,1970-09-04
Aberdeen,Aberdeenshire,Scotland,Wilfred,Tatler,1913-11-17
Aberdeen,Aberdeenshire,Scotland,Isaac,Bow,1852-07-11
Aberdeen,Aberdeenshire,Scotland,Elizabeth,Hadfield,1855-01-23
Aberdeen,Aberdeenshire,Scotland,Kim,Taylor,1972-09-09
Aberdeen,Aberdeenshire,Scotland,Barry,West,1968-06-07
Aberdeen,Aberdeenshire,Scotland,Joseph,Beddard,1908-11-04
Aberdeen,Aberdeenshire,Scotland,Michael,Green,1970-07-17
Aberdeen,Aberdeenshire,Scotland,Ellen,Roocroft,1878-06-18
Aberdeen,Aberdeenshire,Scotland,Edmund,Spain,1848-08-23
Aberdeen,Aberdeenshire,Scotland,Irene,Touboulic,1928-09-26
Aberdeen,Aberdeenshire,Scotland,Harriett,Kevis,1847-01-14
Aberdeen,Aberdeenshire,Scotland,Emily,Moss,1895-10-29
Aberdeen,Aberdeenshire,Scotland,Sarah,Byne,1866-05-03
Aberdeen,Aberdeenshire,Scotland,Hannah,Scott,1852-02-16
Aberdeen,Aberdeenshire,Scotland,Charley,Farrance,1864-07-27
Aberdeen,Aberdeenshire,Scotland,Graham,Ewer,1944-10-29
Aberdeen,Aberdeenshire,Scotland,John,Shepherd,1886-04-26
